#Solid temperature at x [m] from FDM
#time [s]	x=2.5	x=5	x=7.5	x=10
7980.0	409.5866687139786	447.51545443155277	482.3656696819162	512.8516379812372
8040.0	409.6971505261473	447.7649861385893	482.7863060285468	513.4602603876742
8100.0	409.80519340061386	448.0097776828532	483.19992224487265	514.0598933781442
8160.0	409.9108542212858	448.24991724983573	483.60662484591154	514.6506481223954
8220.0	410.01418847585546	448.48549145117994	484.0065189994816	515.2326349094034
8280.0	410.11525028665454	448.71658535034527	484.39970854091376	515.8059631432845
8340.0	410.21409245159543	448.94328248754357	484.7862959820484	516.3707413390118
8400.0	410.31076647356986	449.16566490437316	485.16638252140535	516.9270771193931
8460.0	410.4053225968326	449.38381317063113	485.5400680548134	517.4750772108525
8520.0	410.4978098355348	449.59780640925425	485.90745118836674	518.0148474409202
8580.0	410.58827600954874	449.8077223180212	486.2686292439458	518.5464927353207
8640.0	410.67676777101974	450.01363719486534	486.62369827637986	519.0701171156084
8700.0	410.76333063564476	450.21562596270667	486.9727530797824	519.5858236965751
8760.0	410.8480090120902	450.41376219131064	487.3158871989459	520.0937146848524
8820.0	410.9308462296364	450.60811811856877	487.653192942498	520.5938913767876
8880.0	411.01188456557065	450.7987646770093	487.9847613931478	521.0864541574159
8940.0	411.0911652718803	450.98577151234946	488.31068241548957	521.5715024990766
9000.0	411.1687286012957	451.1692070060018	488.6310446709372	522.0491349608046
9060.0	411.2446138326047	451.34913829995867	488.94593562741767	522.5194491873901
9120.0	411.3188592952969	451.5256313109525	489.2554415717419	522.9825419093672
9180.0	411.39150239496803	451.69875076051864	489.5596476165604	523.4385089427518
9240.0	411.46257963336944	451.86856018528505	489.8586377156581	523.8874451891907
9300.0	411.53212663374086	452.0351219677737	490.1524946737032	524.3294446361758
9360.0	411.600178164487	452.19849734619714	490.4413001573528	524.7646003578275
9420.0	411.66676815539716	452.35874644212646	490.7251347076234	525.1930045156373
9480.0	411.73192972509844	452.515928275586	491.00407774749084	525.6147483595612
9540.0	411.7956951970831	452.6701007838833	491.278207596376	526.0299222290593
9600.0	411.85809612072256	452.8213208430857	491.5476014803978	526.438615554625
9660.0	411.9191632919485	452.9696442846051	491.8123355433524	526.8409168596268
9720.0	411.97892677139146	453.11512591197754	492.07248485909406	527.2369137620981
9780.0	412.037415902745	453.25781952137913	492.3281234392238	527.6266929764394
9840.0	412.0946593299682	453.397777917935	492.57932424716313	528.0103403160886
9900.0	412.150685016441	453.5350529331212	492.8261592086667	528.3879406957612
9960.0	412.20552026099523	453.6696954417349	493.0686992234938	528.7595781338746
10020.0	412.2591917141166	453.8017553786556	493.3070141748792	529.125335755819
10080.0	412.31172539479013	453.9312817552891	493.5411729403441	529.4852957964057
10140.0	412.3631467062775	454.0583226758451	493.7712434044599	529.839539603006
10200.0	412.413480453332	454.1829253532347	493.9972924707022	530.1881476390705
10260.0	412.4627508506249	454.30513612483395	494.2193860675828	530.5311994874185
10320.0	412.51098154688844	454.4250004678486	494.43758916352203	530.8687738537468
10380.0	412.55819562913246	454.54256301471463	494.651965778996	531.2009485703721
10440.0	412.60441564683106	454.6578675694815	494.86257899184227	531.527800600151
10500.0	412.6496636146984	454.7709571182579	495.0694909524911	531.8494060405344
10560.0	412.6939610335566	454.88187384716304	495.27276289547524	532.1658401273214
10620.0	412.7373289007657	454.9906591589278	495.47245514378176	532.477177239492
10680.0	412.779787722937	455.09735367878324	495.668627128926	532.7834909030195
10740.0	412.8213575257392	455.2019972779901	495.86133739113234	533.0848537956613
10800.0	412.86205786871244	455.3046290787444	496.0506435999965	533.3813377514331
10860.0	412.90190785562606	455.4052874759021	496.236602555207	533.6730137656075
10920.0	412.940926145883	455.5040101408732	496.4192702071374	533.9599519991089
10980.0	412.9791309659288	455.6008340427646	496.59870165616337	534.2422217837698
11040.0	413.0165401175091	455.69579545736224	496.7749511733522	534.5198916272059
11100.0	413.05317099046204	455.78892997790194	496.94807220331705	534.7930292180097
11160.0	413.0890405731359	455.88027253076183	497.1181173769251	535.06170143086
11220.0	413.124165461719	455.9698573861336	497.28513852392143	535.3259743320127
11280.0	413.1585618656924	456.05771816979234	497.44918667822304	535.5859131843532
11340.0	413.1922456276071	456.14388787476673	497.61031209039635	535.8415824532315
11400.0	413.2252322173678	456.2283988728781	497.76856423805015	536.0930458115346
11460.0	413.25753675669245	456.31128292595	497.92399183541556	536.3403661458564
11520.0	413.28917401520744	456.3925711969425	498.07664284261875	536.5836055616152
11580.0	413.32015842544627	456.4722942607796	498.22656447419365	536.8228253892869
11640.0	413.35050409127797	456.55048211514463	498.37380321089245	537.0580861898488
11700.0	413.38022479315214	456.6271641909655	498.5184048083257	537.2894477606429
11760.0	413.40933399581814	456.7023693637155	498.66041430634965	537.5169691415783
11820.0	413.43784485832515	456.7761259628046	498.79987603860513	537.7407086206713
11880.0	413.4657702401339	456.84846177882036	498.93683364178077	537.960723740568
11940.0	413.4931227084131	456.9194040796091	499.0713300647802	538.177071304064
12000.0	413.51991454503093	456.9889796141699	499.20340757808157	538.3898073806134
12060.0	413.5461577534361	457.0572146246974	499.33310778298016	538.5989873120747
12120.0	413.571864065338	457.1241348562776	499.4604716210338	538.8046657192017
12180.0	413.59704494936534	457.1897655649801	499.5855393803755	539.0068965078635
12240.0	413.6217116120734	457.2541315255361	499.70835070752753	539.2057328750814
12300.0	413.6458750080244	457.31725704682947	499.8289446153292	539.4012273152122
12360.0	413.66954584706184	457.3791659696397	499.9473594939382	539.5934316265506
12420.0	413.69273459884	457.4398816841141	500.0636331120318	539.7823969174215
12480.0	413.71545149316137	457.4994271354003	500.17780263374397	539.9681736122292
12540.0	413.73770653908304	457.5578248330693	500.2899046245535	540.1508114587479
12600.0	413.75950951118864	457.6150968549708	500.39997505465226	540.3303595332616
12660.0	413.78086997709397	457.6712648595658	500.5080493179298	540.5068662477117
12720.0	413.8017972798485	457.7263500924346	500.6141622260813	540.6803793559186
12780.0	413.82230056249335	457.78037339386475	500.71834803179013	540.8509459597566
12840.0	413.84238876160526	457.83335520634785	500.8206404233795	541.0186125159894
12900.0	413.8620706134755	457.88531558203226	500.92107254188727	541.1834248420437
12960.0	413.88135466274076	457.9362741902138	501.01967698683364	541.3454281229984
13020.0	413.9002492672083	457.9862503257432	501.1164858193195	541.5046669173943
13080.0	413.91876259452147	458.0352629115524	501.2115305758734	541.6611851642291
13140.0	413.9369026342302	458.08333050996885	501.3048422751988	541.8150261890488
