"Time"	"convect"	"energy"	"energyRef"
5760	2.5898587428739	198273.86369462	23059.863694622
5790	2.5659458056429	198350.66450913	23136.664509127
5820	2.5421518488215	198426.75534417	23212.755344165
5850	2.5184903319188	198502.14388262	23288.14388262
5880	2.4949744191124	198576.82839457	23362.828394568
5910	2.4716168768931	198650.82073502	23436.820735015
5940	2.4484302297738	198724.12192155	23510.121921552
5970	2.4254265547187	198796.73648251	23582.736482511
6000	2.4026175280117	198868.6707779	23654.670777897
6030	2.3800143962583	198939.93137122	23725.931371224
6060	2.3576282054152	199010.52207852	23796.52207852
6090	2.335469313295	199080.45271962	23866.452719624
6120	2.3135477951462	199149.72980715	23935.729807151
6150	2.2918733041549	199218.35730975	24004.357309751
6180	2.2704549760335	199286.34626837	24072.346268366
6210	2.2493015337901	199353.7003972	24139.700397204
6240	2.2284213911425	199420.43053374	24206.430533744
6270	2.2078223116125	199486.54481877	24272.544818765
6300	2.1875117029605	199552.05057901	24338.050579009
6330	2.1674966577168	199616.95793961	24402.957939614
6360	2.1477836675295	199681.27493961	24467.274939611
6390	2.1283787311633	199745.01012683	24531.010126832
6420	2.1092877832006	199808.17250704	24594.172507041
6450	2.0905161088541	199870.77235796	24656.77235796
6480	2.0720686309134	199932.8188889	24718.818888899
6510	2.0539498245386	199994.32146178	24780.321461779
6540	2.0361640104835	200055.29081227	24841.290812268
6570	2.0187151464289	200115.73640405	24901.736404049
6600	2.0016069256808	200175.66871839	24961.66871839
6630	1.9848428024813	200235.09553991	25021.095539911
6660	1.968426006865	200294.03004652	25080.030046522
6690	1.952359886394	200352.48109136	25138.481091363
6720	1.9366478378977	200410.46027506	25196.46027506
6750	1.9212935368558	200467.97629812	25253.976298125
6780	1.9063011819668	200525.04091382	25311.040913824
6810	1.8916767862621	200581.66526487	25367.665264866
6840	1.8774310025814	200637.86054485	25423.860544854
6870	1.863576344146	200693.63916848	25479.639168478
6900	1.8501178568674	200749.00703783	25535.007037828
6930	1.8370539495966	200803.98262236	25589.982622355
6960	1.8243758893242	200858.57650509	25644.576505091
6990	1.8120704545721	200912.79774271	25698.797742715
7020	1.8001213821918	200966.65788497	25752.657884971
7050	1.7885103915222	201020.16812546	25806.16812546
7080	1.7772183342602	201073.33767345	25859.337673452
7110	1.766225794075	201126.17543294	25912.175432943
7140	1.755513496001	201178.69025706	25964.690257062
7170	1.7450628478918	201230.88977782	26016.889777824
7200	1.7348559737895	201282.78340803	26068.783408031
7230	1.7248759820242	201334.37562516	26120.375625157
7260	1.7151069347344	201385.67538408	26171.675384084
7290	1.7055338746348	201436.68629731	26222.686297311
7320	1.6961428263003	201487.41411424	26273.414114245
7350	1.686920780123	201537.86499136	26323.864991358
7380	1.677855625233	201588.04477982	26374.044779816
7410	1.6689360590783	201637.95505686	26423.955056864
7440	1.6601515556915	201687.60330188	26473.603301884
7470	1.6514923742798	201736.99175356	26522.991753564
7500	1.642949371518	201786.12336298	26572.123362978
7530	1.6345140358112	201835.00108116	26621.001081156
7560	1.6261784598131	201883.63294715	26669.632947146
7590	1.6179351755083	201932.01392383	26718.013923833
7620	1.609777229896	201980.15296611	26766.152966113
7650	1.6016981485588	202028.04931079	26814.049310793
