Time,"Gradients:0","Gradients:1","Gradients:2","Gradients:3","Gradients:4","Gradients:5","Gradients:6","Gradients:7","Gradients:8","Points:0","Points:1","Points:2"
12600,0,0,0,0,0.17864,0,0,0,0,0.005,0.1,0.005
12660,0,0,0,0,0.17482,0,0,0,0,0.005,0.1,0.005
12720,0,0,0,0,0.17202,0,0,0,0,0.005,0.1,0.005
12780,0,0,0,0,0.1701,0,0,0,0,0.005,0.1,0.005
12840,0,0,0,0,0.16905,0,0,0,0,0.005,0.1,0.005
12900,0,0,0,0,0.16812,0,0,0,0,0.005,0.1,0.005
12960,0,0,0,0,0.16735,0,0,0,0,0.005,0.1,0.005
13020,0,0,0,0,0.16707,0,0,0,0,0.005,0.1,0.005
13080,0,0,0,0,0.16725,0,0,0,0,0.005,0.1,0.005
13140,0,0,0,0,0.16774,0,0,0,0,0.005,0.1,0.005
13200,0,0,0,0,0.16836,0,0,0,0,0.005,0.1,0.005
13260,0,0,0,0,0.16905,0,0,0,0,0.005,0.1,0.005
13320,0,0,0,0,0.16977,0,0,0,0,0.005,0.1,0.005
13380,0,0,0,0,0.17006,0,0,0,0,0.005,0.1,0.005
13440,0,0,0,0,0.17015,0,0,0,0,0.005,0.1,0.005
13500,0,0,0,0,0.17023,0,0,0,0,0.005,0.1,0.005
13560,0,0,0,0,0.1703,0,0,0,0,0.005,0.1,0.005
13620,0,0,0,0,0.17031,0,0,0,0,0.005,0.1,0.005
13680,0,0,0,0,0.17033,0,0,0,0,0.005,0.1,0.005
13740,0,0,0,0,0.1703,0,0,0,0,0.005,0.1,0.005
13800,0,0,0,0,0.17019,0,0,0,0,0.005,0.1,0.005
13860,0,0,0,0,0.17002,0,0,0,0,0.005,0.1,0.005
13920,0,0,0,0,0.16975,0,0,0,0,0.005,0.1,0.005
13980,0,0,0,0,0.16928,0,0,0,0,0.005,0.1,0.005
14040,0,0,0,0,0.16869,0,0,0,0,0.005,0.1,0.005
14100,0,0,0,0,0.16785,0,0,0,0,0.005,0.1,0.005
14160,0,0,0,0,0.16677,0,0,0,0,0.005,0.1,0.005
14220,0,0,0,0,0.16534,0,0,0,0,0.005,0.1,0.005
14280,0,0,0,0,0.16354,0,0,0,0,0.005,0.1,0.005
14340,0,0,0,0,0.16079,0,0,0,0,0.005,0.1,0.005
14400,0,0,0,0,0.15744,0,0,0,0,0.005,0.1,0.005
14460,0,0,0,0,0.15323,0,0,0,0,0.005,0.1,0.005
14520,0,0,0,0,0.14806,0,0,0,0,0.005,0.1,0.005
14580,0,0,0,0,0.14166,0,0,0,0,0.005,0.1,0.005
14640,0,0,0,0,0.1337,0,0,0,0,0.005,0.1,0.005
14700,0,0,0,0,0.12395,0,0,0,0,0.005,0.1,0.005
14760,0,0,0,0,0.11192,0,0,0,0,0.005,0.1,0.005
14820,0,0,0,0,0.097358,0,0,0,0,0.005,0.1,0.005
14880,0,0,0,0,0.080018,0,0,0,0,0.005,0.1,0.005
14940,0,0,0,0,0.059584,0,0,0,0,0.005,0.1,0.005
15000,0,0,0,0,0.041826,0,0,0,0,0.005,0.1,0.005
15060,0,0,0,0,0.029649,0,0,0,0,0.005,0.1,0.005
15120,0,0,0,0,0.021252,0,0,0,0,0.005,0.1,0.005
15180,0,0,0,0,0.015433,0,0,0,0,0.005,0.1,0.005
15240,0,0,0,0,0.011388,0,0,0,0,0.005,0.1,0.005
15300,0,0,0,0,0.008528,0,0,0,0,0.005,0.1,0.005
15360,0,0,0,0,0.006521,0,0,0,0,0.005,0.1,0.005
15420,0,0,0,0,0.0051256,0,0,0,0,0.005,0.1,0.005
15480,0,0,0,0,0.0041005,0,0,0,0,0.005,0.1,0.005
15540,0,0,0,0,0.003394,0,0,0,0,0.005,0.1,0.005
15600,0,0,0,0,0.0028773,0,0,0,0,0.005,0.1,0.005
15660,0,0,0,0,0.0025173,0,0,0,0,0.005,0.1,0.005
15720,0,0,0,0,0.0022685,0,0,0,0,0.005,0.1,0.005
15780,0,0,0,0,0.0020746,0,0,0,0,0.005,0.1,0.005
15840,0,0,0,0,0.0019635,0,0,0,0,0.005,0.1,0.005
15900,0,0,0,0,0.0018845,0,0,0,0,0.005,0.1,0.005
15960,0,0,0,0,0.0018178,0,0,0,0,0.005,0.1,0.005
16020,0,0,0,0,0.0017948,0,0,0,0,0.005,0.1,0.005
16080,0,0,0,0,0.0017816,0,0,0,0,0.005,0.1,0.005
16140,0,0,0,0,0.0017715,0,0,0,0,0.005,0.1,0.005
16200,0,0,0,0,0.0017905,0,0,0,0,0.005,0.1,0.005
16260,0,0,0,0,0.0018009,0,0,0,0,0.005,0.1,0.005
16320,0,0,0,0,0.001785,0,0,0,0,0.005,0.1,0.005
16380,0,0,0,0,0.0018038,0,0,0,0,0.005,0.1,0.005
16440,0,0,0,0,0.0017727,0,0,0,0,0.005,0.1,0.005
16500,0,0,0,0,0.0017118,0,0,0,0,0.005,0.1,0.005
16560,0,0,0,0,0.001629,0,0,0,0,0.005,0.1,0.005
16620,0,0,0,0,0.0015598,0,0,0,0,0.005,0.1,0.005
16680,0,0,0,0,0.0014668,0,0,0,0,0.005,0.1,0.005
16740,0,0,0,0,0.0014059,0,0,0,0,0.005,0.1,0.005
16800,0,0,0,0,0.0013048,0,0,0,0,0.005,0.1,0.005
16860,0,0,0,0,0.0012353,0,0,0,0,0.005,0.1,0.005
16920,0,0,0,0,0.001164,0,0,0,0,0.005,0.1,0.005
