"Time"	"convect"	"energy"	"energyRef"
2220	4.6120214815672	194988.53502192	11091.464978084
2250	4.5946607274241	194851.37926063	11228.620739368
2280	4.5773192225011	194714.74440873	11365.255591272
2310	4.5600140665055	194578.63110223	11501.368897769
2340	4.5427621899571	194443.03361712	11636.966382879
2370	4.5255801156724	194307.95449739	11772.045502607
2400	4.508484051241	194173.38906207	11906.610937927
2430	4.4914895918995	194039.33456372	12040.665436279
2460	4.4746120311991	193905.78688106	12174.213118944
2490	4.4578659981924	193772.74283394	12307.257166055
2520	4.4412658766109	193640.1992933	12439.800706699
2550	4.4248253375718	193508.14687181	12571.853128193
2580	4.4085575712012	193376.58656163	12703.413438374
2610	4.3924753291332	193245.50816137	12834.491838631
2640	4.3765907203754	193114.90999195	12965.090008052
2670	4.360915441154	192984.7816484	13095.218351597
2700	4.3454605830831	192855.11984903	13224.880150967
2730	4.3302367845117	192725.91492663	13354.085073368
2760	4.315254191972	192597.16314147	13482.83685853
2790	4.300522522025	192468.85360526	13611.146394737
2820	4.2860511094796	192340.98072115	13739.019278851
2850	4.2718488920616	192213.5372134	13866.4627866
2880	4.2579253877298	192086.51214278	13993.487857217
2910	4.2442901821762	191959.9000652	14120.099934801
2940	4.2309535908308	191833.68973609	14246.310263905
2970	4.2179279292674	191707.87337085	14372.126629154
3000	4.2052305968213	191582.4416075	14497.558392497
3030	4.1928900701302	191457.38261649	14622.61738351
3060	4.1809257923556	191332.68751932	14747.312480684
3090	4.1693367675781	191208.34400295	14871.655997046
3120	4.1581068234716	191084.34061943	14995.659380572
3150	4.1472101082585	190960.665997	15119.334002998
3180	4.1366159229786	190837.31324141	15242.686758586
3210	4.1262919743614	190714.27299078	15365.727009224
3240	4.1162063060071	190591.53585775	15488.464142249
3270	4.106328637965	190469.09670342	15610.903296584
3300	4.0966307294289	190346.94932047	15733.050679525
3330	4.0870867826599	190225.08930774	15854.910692262
3360	4.0776730815641	190103.51025432	15976.489745676
3390	4.0683682512473	189982.2125419	16097.787458099
3420	4.0588533742695	189861.11753537	16218.882464631
3450	4.0496914137213	189740.24238135	16339.757618647
3480	4.0405859382624	189619.63979159	16460.360208409
3510	4.0315208396718	189499.30813781	16580.69186219
